,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
"0-('A', 'connected_to', 'C')-10",0.11579716,0.012180053,-0.121285945,-0.061469883,-0.043347847,-0.0075537562,0.03267455,-0.004485123,0.048835874,0.11901159,-0.021285743,-0.0890986,0.15727384,-0.02102904,-0.025131457,0.017328858,0.03583327,0.050765708,-0.0051273108,0.013114363,0.043421954,0.0746845,0.17139742,-0.09611361,0.08198324,-0.10787165,0.015212595,-0.09769375,0.07659003,0.014094457,0.23356588,0.019225791,0.10001412,-0.13138917,-0.08373051,0.00910949,-0.027309582,-0.11649123,0.1330494,-0.031653494,0.06424789,-0.09456995,-0.121346176,0.03721168,0.12167293,0.06377238,0.06551125,-0.09599933,0.068434566,0.10858495,-0.07616015,0.1397678,-0.10025214,0.13395697,-0.04534985,-0.08880721,-0.078096025,-0.06111185,-0.02157864,-0.03801082,-0.03651397,0.06333302,-0.04757724,0.12945558,-0.01428619,0.14374635,-0.099637404,-0.069393076,-0.046012342,0.07584422,0.07831801,-0.03886639,0.05610861,0.09200126,0.022988632,0.102805406,0.020897364,-0.054091714,-0.030879617,-0.22772458,-0.025597297,0.028002068,-0.062182695,0.13797532,0.13450514,-0.033764303,0.014095262,-0.043897696,-0.10099423,0.13695838,-0.046795562,-0.10334121,0.05673433,-0.014898259,0.0673774,0.0052927136,0.029212832,0.046702027,0.08649724,0.037990484,0.0084541105,-0.01622653,-0.04996741,-0.050169647,0.04830894,0.030143693,0.01453381,0.042528838,-0.003446728,-0.09055853,0.16642532,0.039181113,0.01808368,0.15379733,-0.20687109,0.060656324,-0.06120886,-0.034716368,-0.1627643,0.095835716,0.043619603,0.09771559,0.023440402,0.0044375584,0.09481961,0.012353517,-0.0016179532,0.04618323
"1-('A', 'connected_to', 'C')-11",0.06418362,0.017329335,-0.088356465,-0.05073096,0.02159698,-0.02493124,-0.0012129769,0.070390254,0.06938077,0.07075706,0.02816968,-0.03131844,0.21411365,0.002186805,-0.08537346,0.02349329,0.03809026,-0.05036281,-0.007913321,0.042901546,-0.03643357,0.072567195,0.16857713,-0.07976632,0.088635534,-0.050648175,0.07007845,-0.03423217,0.09392066,-0.008039057,0.18451503,-0.022313107,0.072716124,-0.031592578,-0.011048101,0.033768967,0.011660486,-0.13332883,0.045157246,0.001029104,0.066461176,0.009834968,-0.071425885,-0.025373735,0.0887685,0.05782157,-0.008567065,-0.03145526,-0.04102029,0.041657016,-0.06693858,0.093471006,-0.12303473,0.041909188,-0.104355335,-0.066295385,-0.03567417,-0.020596892,0.027556658,-0.050550386,-0.078386635,0.031439133,-0.04929435,0.0927279,0.0020227432,0.08967093,-0.059221715,0.0058137923,-0.0182029,0.052561373,0.07644871,-0.004049197,0.0020631254,0.027409717,0.01238388,0.10403687,-0.0048008338,-0.093569,-0.06755623,-0.1540339,0.023856938,0.05410257,-0.03938213,0.13470444,0.0041831136,-0.009628519,0.020015277,-0.103079006,-0.0059966,0.039706588,-0.08582619,-0.11324996,0.0149208605,0.05230327,0.019415036,-0.017719422,0.044297397,0.03479004,0.03554216,0.09703213,-0.079540506,-0.023751084,-0.06772482,-0.03209862,-0.06553151,0.013472125,0.106091455,0.021394134,0.013607755,-0.081989706,0.09718186,0.06947966,-0.033900067,0.066768005,-0.08927031,0.011405777,-0.051095027,-0.049125277,-0.11876413,-0.024983017,0.069277704,0.0012468919,-0.009320106,0.033103377,0.079211324,0.015075415,0.03081502,0.01835109
"2-('A', 'connected_to', 'C')-12",0.024353161,-0.038033307,-0.15414132,-0.060263485,-0.059626214,-0.05549195,0.069045246,-0.02581469,0.03585294,0.104175925,0.07606606,-0.026842505,0.12881108,0.0524514,-0.016564399,-0.020059375,0.05217141,-0.01038662,0.041424103,0.03255744,0.049310222,0.012062969,0.036313575,-0.06165842,0.063406914,-0.06822471,0.0111935735,-0.13091406,0.06906451,0.003106445,0.12520203,0.012977764,-0.010062173,-0.039993115,-0.053934194,0.0430035,-0.05766347,-0.035138197,0.08644521,-0.030221213,0.0077060945,-0.023696404,-0.13683608,0.011627015,0.08952529,0.01167275,0.06817642,-0.0405062,-0.03228657,0.08474894,-0.0786148,0.09386441,-0.10643081,0.007964812,-0.05999592,-0.10177088,0.023870682,-0.062360354,-0.041858144,0.025376543,0.05798471,0.04543045,-0.024295632,0.11682229,0.065418795,0.13515286,-0.08098102,-0.004280001,-0.03244488,0.03863506,-0.03487049,-0.020087257,0.007246554,0.06969513,-0.018405184,0.030472465,-0.019954741,-0.037715483,0.016225845,-0.19982879,-0.06701714,-0.04636556,-0.08144364,0.12669528,-0.028276501,0.035912126,0.10640155,-0.09161319,-0.07740486,0.10813975,-0.07724599,-0.05985388,0.04875639,0.0008792132,0.032606542,0.010606803,0.01852861,0.032868326,-0.0041207075,0.018773407,-0.044258222,0.030151613,-0.033315327,-0.022907577,-0.08009386,0.026831955,0.016846549,-0.016433522,0.049118303,-0.060632735,0.14066276,0.041188575,-0.06104979,0.070120946,-0.097885415,0.011180729,-0.035897523,-0.09030807,-0.07939507,0.03733559,-0.016451411,-0.00687021,-0.04352656,0.10689189,0.014993265,0.06622735,0.044257507,0.06728031
"5-('B', 'connected_to', 'C')-10",0.036297634,0.059139095,-0.010411579,-0.048214763,-0.04128114,0.026936054,0.018685564,0.04301916,-0.016571492,0.18350047,-0.0014769584,0.023081481,-0.1013711,0.01295428,-0.070067056,-0.065347716,0.08230762,0.0041337013,0.02040109,0.04512173,0.03382706,-0.0065812357,-0.037776135,0.017546013,0.014324546,0.006354317,-0.060665935,-0.09497518,0.07853359,-0.06575906,-0.06915657,-0.09765051,0.062318787,-0.05707088,-0.019839017,-0.07199869,0.025321245,-0.035235435,0.06913495,-0.035608232,0.0189517,-0.07120761,-0.05952871,0.04293806,0.04488191,0.03280689,-0.11653859,-0.035651207,0.15815726,0.06691385,-0.050268438,0.01736644,-0.01875566,0.029004462,-0.11649282,-0.07727097,-0.072397284,-0.0773496,-0.025524136,0.007413894,0.021960557,-0.024586037,-0.04907336,0.044245787,0.10313746,-0.029043376,0.0382843,-0.07904997,-0.025905848,0.03186264,0.11843019,-0.05814362,0.0041508228,0.070503965,0.010836914,0.10014254,-0.05236575,0.03834545,0.0634256,0.05370281,-0.015439291,-0.005101964,-0.10325059,0.07668097,-0.0031422079,-0.052732676,0.01663524,-0.021760061,-0.024499953,-0.048823625,0.018973283,-0.12303533,0.07702289,-0.025305916,-0.017776527,0.013040394,-0.016516566,0.017113209,0.03767328,0.009768121,0.019198984,0.026541762,-0.0069324374,-0.016617797,0.14993909,0.027888536,0.03478446,0.010677129,-0.04350269,-0.054953337,0.036502305,0.011516973,0.08847447,0.13919264,0.00054860115,0.0007243976,-0.050036833,-0.020159364,-0.007867115,0.044391975,0.06619385,0.017871156,-0.011358152,-0.04549548,0.03048293,0.07920123,0.076522745,0.11096126
"6-('B', 'connected_to', 'C')-11",-0.06751078,0.0595991,0.0017665774,0.00060622394,-0.058846597,0.05069472,0.017552756,0.11255565,-0.009494394,-0.039566517,0.06472628,0.085215315,-0.12813164,-0.00063309073,-0.1451388,-0.09759833,0.029570535,-0.06947841,0.032100856,0.092591256,0.0041818544,-0.07717179,-0.12195377,0.10116847,-0.019649163,0.01571048,-0.067484856,-0.050884902,0.04612203,-0.06822196,-0.15436587,-0.11618218,0.04861851,-0.029178977,-0.03329131,-0.07544926,0.0533683,-0.01151339,0.0045093223,-0.011607856,-0.032151,-0.028220125,-0.016690012,-0.11922376,-0.09409928,0.0035664886,-0.10818873,-0.067519486,0.11485415,-0.043150023,-0.048945025,-0.011126891,0.029635623,-0.06897566,-0.1636568,-0.0043014586,-0.06552346,0.013248235,-0.017383456,-0.048216328,0.008591512,-0.03778299,-0.043714117,-0.014182419,0.08719702,-0.06875835,-0.00030562282,-0.022250995,-0.07896379,-0.0021980107,0.11089039,-0.050058976,-0.050675973,-0.028832406,-0.08872058,0.06311776,-0.046379954,0.031330876,0.15560776,0.15260652,0.122971386,-0.030420646,-0.04243079,0.044364996,-0.100741,-0.04526799,0.027786292,0.01794587,-0.035693794,-0.017934337,-0.011691123,-0.07432139,0.06524457,0.05265951,-0.03812851,-0.020892106,-0.014425129,0.060626864,-0.0149533,0.03840427,-0.01354209,-0.05506396,-0.011615761,0.0216209,0.0661242,0.08070174,0.15864952,-0.015718117,0.016306996,-0.04722535,-0.060951754,0.06323131,0.034553453,0.06337614,0.05244872,-0.04667749,-0.060614105,-0.00047313422,0.07582712,-0.022059767,0.11866936,-0.043297753,-0.079047784,-0.04432133,-0.03906916,0.09071997,0.009322211,0.12576082
"7-('B', 'connected_to', 'C')-12",-0.07384263,0.06921457,-0.013422608,0.029294252,-0.09593624,0.10273729,-0.06829423,0.031108804,-0.05309523,-0.0014123768,0.08487509,0.07283309,-0.1661491,0.09846234,-0.05324067,-0.1624976,0.11509678,-0.08794816,-0.027495965,0.054526035,0.11327772,-0.14921537,-0.167171,0.07962628,-0.013320178,-0.0058608353,-0.07844913,-0.090536505,0.047316864,-0.087090716,-0.13713577,-0.095274106,0.024360627,-0.0105092,-0.044064686,-0.0829972,0.0048218127,0.086349234,0.070857525,0.059385676,-0.042667564,-0.070886046,0.0035612285,-0.025305837,-0.037483625,-0.021846265,-0.09464143,-0.080977544,0.09147063,-0.042141348,-0.13646615,-0.017479599,0.028102085,-0.030022092,-0.1203748,-0.08396092,-0.023556644,-0.031260364,-0.08628423,-0.01833859,0.14402348,-0.05264084,-0.049280137,-0.021343082,0.1442282,-0.014651455,-0.06334006,-0.038755685,-0.1118394,-0.015486948,0.02634652,-0.09467501,0.0011816472,0.08052772,-0.02898167,-0.0375825,-0.104042746,0.098136835,0.03272441,0.16039667,0.043294642,-0.11999127,-0.10695043,0.054275382,-0.1071746,0.06320364,0.083849415,0.046675712,-0.011998594,-0.054758847,0.011568543,-0.05708641,0.08858356,0.013297185,0.039157346,-0.0037168935,-0.02224961,0.037870944,-0.07966064,-0.01786679,0.050034404,-0.03149733,-0.035842113,0.13820778,0.060686614,0.0671964,0.048724215,-0.029316902,0.037528448,-0.021089107,-0.016595423,0.15814148,0.08074735,0.087679595,0.07723139,-0.10600215,-0.019663773,-0.11055657,0.10328467,-0.0011198968,0.015008695,-0.06621781,-0.024321511,-0.0052454434,0.007910177,0.17175776,-0.02563335,0.17819984
"0-('A', 'related_to', 'B')-5",-0.08195924,0.061154995,0.08865918,0.14531466,-0.045672104,0.1913647,0.0431937,0.03635314,-0.059930652,-0.28936052,-0.009969823,0.027831614,-0.21547359,0.051211715,-0.0033049583,-0.06688172,-0.008832142,-0.12873197,0.06493807,0.07561454,0.113252215,-0.18428457,-0.26566395,0.16122027,-0.11047125,-0.008402981,-0.15131342,-0.011185512,-0.0589016,-0.06825097,-0.1936465,0.045143478,0.018487435,-0.028699398,-0.024920598,-0.14436713,0.0082376,0.021250512,0.046942666,0.13080975,-0.06507193,-0.1818204,0.047139477,-0.08451594,-0.16015372,-0.086804375,0.019685164,-0.05375299,0.047661334,-0.15069482,-0.107247114,-0.052323155,0.19705403,-0.04079372,-0.00039425492,0.045394212,-0.029222041,0.025008094,-0.1504281,-0.08951887,0.093564376,-0.077225685,-0.058779612,-0.13490075,-0.056967415,-0.05380243,-0.18132432,0.026159592,-0.17083004,-0.07548894,-0.035147056,-0.11059895,0.079619765,-0.03196884,-0.14284234,-0.11807062,0.001550518,0.11115062,0.09522842,0.17877851,0.17023167,-0.0013017058,0.05656086,-0.107580855,-0.04922398,0.059183203,0.038323533,0.19430782,0.041492462,-0.03146392,0.101729244,0.11495666,0.0835694,-0.10512552,-0.017916083,-0.10945371,-0.022909313,0.007420797,-0.027223043,-0.12891787,0.11690752,-0.12380487,-0.06201128,0.20685354,0.14234611,0.05007703,0.015571788,-0.009659931,0.055532023,-0.043000907,-0.10424021,-0.0012346804,0.15537742,-0.035828948,-0.054497868,-0.08211326,-0.109373584,0.05271958,0.10338013,0.035992637,-0.011636421,-0.019978777,-0.06008099,-0.1245732,-0.12559617,0.06634012,-0.117903665,0.081273004
"1-('A', 'related_to', 'B')-6",-0.029764362,0.06584427,0.109410495,0.107232615,0.03683818,0.15022857,0.010438994,0.041692026,-0.046462893,-0.11454803,-0.026717631,0.023477912,-0.13187324,0.08801493,0.0115247965,-0.028466672,0.046161935,-0.15624839,0.050452292,0.057932198,0.063041896,-0.115811326,-0.18430658,0.093945086,-0.069845244,0.039464325,-0.08962865,0.008185789,-0.009159438,-0.08792156,-0.15748806,0.022136241,0.004889697,0.043205284,0.06121412,-0.11625707,0.019160613,-0.019309115,0.023676142,0.13949198,-0.011755992,-0.12040295,0.054221094,0.0150604695,-0.05407697,-0.06351477,-0.06274301,0.042659342,-0.018490404,-0.10755888,-0.099348955,-0.07012661,0.12588015,-0.0348614,-0.012235761,-0.0050634667,0.006325992,-0.02507478,-0.10943349,-0.04642822,0.065060765,-0.095922604,-0.065855965,-0.11320019,-0.024718031,-0.06816286,-0.102318734,0.044567466,-0.08996265,-0.06471115,-0.029476583,-0.0838664,0.080401085,0.0027759932,-0.053889588,-0.07981436,-0.03013347,0.078687906,-0.03363034,0.15356547,0.081275225,0.050117478,0.01854159,-0.078535765,-0.08194721,0.0758543,0.03309249,0.09542058,0.14768395,-0.159605,0.093363,0.05633397,0.053534254,-0.115889415,-0.045526475,-0.098533355,-0.009916171,-0.048004832,-0.025551543,-0.09851238,0.06165398,-0.049723685,-0.07508536,0.18668586,0.11232057,-0.019407734,-0.016735636,-0.004399389,0.012776807,-0.042160086,-0.07602963,-0.022650482,0.1573147,-0.047041744,0.011202812,-0.08396192,-0.088682495,0.018624455,0.063686065,-0.018374354,-0.038453832,-0.05527857,-0.025151864,-0.09708151,-0.071652375,0.05754327,-0.01827015,0.038641304
"2-('A', 'related_to', 'B')-7",-0.06326297,0.0008661598,0.05881482,0.069012076,-0.0072953845,0.0676253,0.16654417,0.026933923,-0.036389887,-0.11928333,0.0010299236,0.040336102,-0.17915837,0.039184093,-0.011564285,-0.0071200803,-0.025283158,-0.097802445,0.15938652,0.08565331,0.03968981,-0.10427198,-0.27135292,0.13359517,-0.101402834,0.043459095,-0.13754928,-0.048844486,-0.035210423,-0.057907328,-0.23403114,0.03651905,-0.05363072,0.016134962,0.029101372,-0.099474594,-0.001616858,-0.018981114,-0.0013841093,0.037248135,-0.059994474,-0.1112684,-0.03144037,-0.041856706,-0.10993585,-0.08425085,0.0004531741,0.04706648,0.013626844,-0.06547564,-0.023504049,-0.0633805,0.1440176,-0.10775933,-0.011158333,0.039120495,0.023904026,-0.02232965,-0.1099475,-0.00037901103,0.066000134,-0.06707344,-0.035291225,-0.081945136,-0.018353164,-0.07678784,-0.06104359,0.050978392,-0.071329,-0.06534853,-0.056251884,-0.055288434,0.0337269,-0.06429873,-0.14441755,-0.052678525,0.012375414,0.06773546,0.1730351,0.09998043,0.07007788,0.039219975,0.040999725,-0.09645531,-0.10797322,0.012923308,0.06341565,0.07815656,0.052580476,-0.054347333,0.078683555,0.09249504,0.06403077,-0.12795115,-0.10962082,-0.08738234,-0.027860492,-0.027170613,-0.0005070716,-0.12050003,0.033359766,-0.019387633,-0.016449511,0.07929003,0.10319582,0.00745742,0.0039447844,-0.028628264,0.027065907,-0.046939373,-0.07690504,-0.14585173,0.083971076,-0.067992255,-0.022194967,-0.02486232,-0.11443532,0.08752511,0.075597584,0.023004383,-0.020522326,-0.040475614,-0.11408459,-0.06236888,-0.18284976,0.027657434,0.030127883,0.035131507
"3-('A', 'related_to', 'B')-8",-0.036369585,0.01157169,-0.0064702434,0.07387371,0.042053685,0.05123967,0.06509027,-0.1011355,-0.039631546,-0.0715633,0.027246386,0.03679043,-0.07177892,0.0404294,0.036113113,0.031914398,-0.011793911,-0.058608443,0.05111578,0.05324714,0.027274817,-0.09311088,-0.050342157,0.06053397,-0.19902554,-0.011354983,-0.0025824308,0.0051198006,-0.018611193,-0.097988114,-0.028307363,0.06300486,0.010954469,-0.014125939,0.06913984,-0.060576797,0.016822442,-0.08358936,0.03573811,0.094976336,-0.03852424,-0.040843695,0.061097115,-0.04380832,-0.0077409893,-0.12410098,-0.013447285,0.025664221,0.022618204,-0.052528173,-0.059906945,-0.06201017,0.09533123,0.002825059,-0.0074709356,0.008816071,0.040756255,-0.036861874,-0.047387436,-0.18382417,0.053403795,-0.09485355,-0.06599517,-0.20753814,-0.04507299,-0.03356497,-0.062053166,-0.037372485,-0.04075463,-0.035589516,0.0022699535,-0.03049586,0.07139543,-0.029219627,-0.07007983,-0.054497257,-0.0063995346,0.02380094,0.04703322,0.009034336,0.103201106,-0.018018633,0.034467764,-0.04319805,-0.04117067,-0.010184225,0.0035062581,0.067227535,0.032129966,-0.057505526,0.07406856,0.057411935,0.014997542,-0.03947614,-0.018466413,-0.020627316,0.02456697,-0.058396995,-0.05705574,-0.011011019,0.000952892,-0.19812569,-0.055736907,0.059168622,0.028467664,0.033496372,0.059784725,-0.03170543,0.06318283,-0.11453636,-0.023475101,0.031520583,0.023585841,0.006694615,-0.045797154,-0.053224426,-0.08527666,0.03690929,0.036035,0.04025331,-0.036968082,-0.018580377,-0.00093678385,-0.05855733,-0.049332973,0.061549976,-0.02062498,0.0334422
